"nm" "bkm" "wfl" "SBez" "lage.15" "Makrolage" "NeuerVertrag" "dauermv" "gew.HH_Total" "gew.HH_Erw" "gew.md"
"1" 1994.29 2183.94 145 "Altstadt-Lehel" 3 1 0 217 1.08798410055326 1.08272083389015 1.0008582768322
"2" 2080 2180 90 "Altstadt-Lehel" 4 1 1 10 0.543992050276629 0.541360416945076 0.961135367784455
"3" 983.08 1037.16 52 "Altstadt-Lehel" 4 1 0 180 1.08798410055326 1.08272083389015 1.0008582768322
"4" 1411.21 1490.41 101 "Altstadt-Lehel" 4 1 0 484 1.08798410055326 1.08272083389015 1.18452668384622
"5" 681.9 725.25 51 "Altstadt-Lehel" 4 1 0 54 0.543992050276629 0.541360416945076 0.961135367784455
"6" 1520 1747.05 99 "Altstadt-Lehel" 4 1 0 287 0.543992050276629 0.541360416945076 1.18452668384622
"7" 1381.44 1500 114 "Altstadt-Lehel" 3 1 0 577 1.08798410055326 1.08272083389015 1.18452668384622
"8" 1175.59 1310.73 77 "Altstadt-Lehel" 3 1 1 60 1.08798410055326 1.08272083389015 0.961135367784455
"9" 1890 2100 90 "Altstadt-Lehel" 4 1 1 4 0.543992050276629 0.541360416945076 0.961135367784455
"10" 2094.43 2195 89 "Altstadt-Lehel" 3 1 0 13 1.08798410055326 1.08272083389015 0.961135367784455
"11" 1786 1748.5 65 "Altstadt-Lehel" 4 1 0 67 1.08798410055326 1.08272083389015 0.961135367784455
"12" 583.2 698.2 76 "Altstadt-Lehel" 4 1 0 516 1.08798410055326 1.08272083389015 1.18452668384622
"13" 1050 1250 68 "Altstadt-Lehel" 4 1 1 31 1.08798410055326 1.08272083389015 0.961135367784455
"14" 1080 1364 155 "Altstadt-Lehel" 4 1 0 587 1.08798410055326 1.08272083389015 1.18452668384622
"15" 817.2 916 95 "Altstadt-Lehel" 3 1 0 202 1.08798410055326 1.08272083389015 1.0008582768322
"16" 4828 4927.1 143 "Altstadt-Lehel" 3 1 0 64 1.08798410055326 1.08272083389015 0.961135367784455
"17" 850 932.4 40 "Altstadt-Lehel" 3 1 1 23 1.08798410055326 1.08272083389015 0.961135367784455
"18" 1418.94 1518.45 84 "Altstadt-Lehel" 3 1 1 30 1.08798410055326 1.08272083389015 0.961135367784455
"19" 2361 2532.35 121 "Altstadt-Lehel" 3 1 0 72 1.08798410055326 1.08272083389015 0.961135367784455
"20" 975.47 1082.84 88 "Altstadt-Lehel" 4 1 0 250 0.543992050276629 0.541360416945076 1.18452668384622
"21" 1206 1401.46 91 "Altstadt-Lehel" 4 1 0 427 1.08798410055326 1.08272083389015 1.18452668384622
"22" 1677.32 1844.36 144 "Altstadt-Lehel" 4 1 0 121 0.543992050276629 0.541360416945076 1.0008582768322
"23" 1706.25 1822.6 65 "Altstadt-Lehel" 4 1 0 33 0.543992050276629 0.541360416945076 0.961135367784455
"24" 1470 1616 128 "Altstadt-Lehel" 4 1 0 59 1.08798410055326 1.08272083389015 0.961135367784455
"25" 706.4 751.6 40 "Altstadt-Lehel" 3 1 1 12 1.08798410055326 1.08272083389015 0.961135367784455
"26" 761 871.19 79 "Altstadt-Lehel" 3 1 0 226 1.08798410055326 1.08272083389015 1.0008582768322
"27" 1835 2050.69 103 "Altstadt-Lehel" 3 1 0 14 1.08798410055326 1.08272083389015 0.961135367784455
"28" 873.74 935.14 53 "Altstadt-Lehel" 3 1 0 62 0.543992050276629 0.541360416945076 0.961135367784455
