Datum;Zuletzt;Eröffn.;Hoch;Tief;Vol.;Veränderung
30.12.22;13923,59;14005,84;14008,97;13922,55;24,35M;-0,01
29.12.22;14071,72;13890,81;14071,72;13871,32;30,73M;0,01
28.12.22;13925,6;14013,72;14018,47;13914,62;27,58M;-0,01
27.12.22;13995,1;14047,42;14063,14;13966,35;22,98M;0
23.12.22;13940,93;13945,59;14000,68;13874,5;28,74M;0
22.12.22;13914,07;14113,01;14160,87;13890,54;42,89M;-0,01
21.12.22;14097,82;13944,69;14099,75;13912,17;44,59M;0,02
20.12.22;13884,66;13829,9;13931,29;13791,52;56,02M;0
19.12.22;13942,87;13934,75;14001,37;13927,05;48,85M;0
16.12.22;13893,07;13978,44;14011,26;13815,24;168,81M;-0,01
15.12.22;13986,23;14351,31;14363,12;13982,59;87,47M;-0,03
14.12.22;14460,2;14453,54;14470,74;14375,95;59,75M;0
13.12.22;14497,89;14345,88;14675,84;14302,49;68,06M;0,01
12.12.22;14306,63;14300,43;14366,39;14262,6;46,46M;0
09.12.22;14370,72;14325,8;14385,57;14217,96;52,57M;0,01
08.12.22;14264,56;14277,75;14298,81;14196,77;47,36M;0
07.12.22;14261,19;14304,95;14372,35;14218,18;52,79M;-0,01
06.12.22;14343,19;14406,87;14471,5;14305,26;50,93M;-0,01
05.12.22;14447,61;14487,43;14507,16;14394,37;50,08M;-0,01
02.12.22;14529,39;14465,7;14584,59;14372,42;55,19M;0
01.12.22;14490,3;14543,8;14563,7;14423,79;61,60M;0,01
30.11.22;14397,04;14429,22;14487,7;14363,32;97,64M;0
29.11.22;14355,45;14404,67;14429,87;14327,04;51,09M;0
28.11.22;14383,36;14471,1;14514,73;14374,15;53,34M;-0,01
25.11.22;14541,38;14547,58;14571,66;14498,05;46,22M;0
24.11.22;14539,56;14456,15;14570,71;14447,55;50,50M;0,01
23.11.22;14427,59;14438,2;14446,33;14363,51;51,12M;0
22.11.22;14422,35;14352,54;14485,49;14343,8;50,37M;0
21.11.22;14379,93;14395,53;14425,95;14321,84;48,08M;0
18.11.22;14431,86;14320,61;14457,76;14300,21;93,25M;0,01
17.11.22;14266,38;14348,46;14384,54;14149,7;58,05M;0
16.11.22;14234,03;14374,86;14382,62;14195,31;76,20M;-0,01
15.11.22;14378,51;14372,42;14440,78;14266,42;77,96M;0
14.11.22;14313,3;14295,81;14431,18;14243,35;72,41M;0,01
11.11.22;14224,86;14179,39;14263,53;14172,47;103,68M;0,01
10.11.22;14146,09;13603,79;14157,25;13599,35;114,86M;0,04
09.11.22;13666,32;13653,98;13691,12;13557,08;64,01M;0
08.11.22;13688,75;13506,65;13689,61;13487,91;60,73M;0,01
07.11.22;13533,52;13398,79;13611,3;13391;56,99M;0,01
04.11.22;13459,85;13201,24;13542,35;13193,51;76,64M;0,03
03.11.22;13130,19;13130,97;13194,32;13022,64;52,29M;-0,01
02.11.22;13256,74;13369,33;13398,64;13255,07;54,43M;-0,01
01.11.22;13338,74;13344,85;13444,07;13287,07;51,44M;0,01
31.10.22;13253,74;13254,31;13307,09;13216,48;59,05M;0
28.10.22;13243,33;13072,92;13250,66;13051,25;64,19M;0
27.10.22;13211,23;13152,99;13259,49;13062,04;72,25M;0
26.10.22;13195,81;13054,49;13203,24;13023,4;65,69M;0,01
25.10.22;13052,96;12965,19;13053,24;12789,26;69,24M;0,01
24.10.22;12931,45;12868,77;13020,45;12747,38;62,92M;0,02
21.10.22;12730,9;12641,12;12775,52;12548,15;82,22M;0
