STATIONS_ID;MESS_DATUM;QN_2;V_TE002M;V_TE005M;V_TE010M;V_TE020M;V_TE050M;eor
        232;19510101;    5;  -0.4;  -0.4;   0.2;   0.5;   1.8;eor
        232;19510102;    5;  -0.3;  -0.4;   0.2;   0.6;   1.8;eor
        232;19510103;    5;  -0.3;  -0.3;   0.2;   0.5;   1.9;eor
        232;19510104;    5;  -0.3;  -0.2;   0.2;   0.5;   1.9;eor
        232;19510105;    5;  -0.3;  -0.3;   0.2;   0.5;   1.8;eor
        232;19510106;    5;  -0.3;  -0.3;   0.2;   0.5;   1.9;eor
        232;19510107;    5;  -0.2;  -0.2;   0.3;   0.5;   1.9;eor
        232;19510108;    5;  -0.2;  -0.2;   0.3;   0.5;   1.9;eor
        232;19510109;    5;  -0.3;  -0.3;   0.2;   0.6;   2.0;eor
        232;19510110;    5;  -0.7;  -0.4;   0.3;   0.5;   1.9;eor
        232;19510111;    5;  -0.5;  -0.5;   0.1;   0.5;   1.9;eor
        232;19510112;    5;  -0.6;  -0.5;   0.1;   0.4;   1.8;eor
        232;19510113;    5;  -0.2;  -0.3;   0.2;   0.5;   1.9;eor
        232;19510114;    5;  -0.2;  -0.2;   0.2;   0.4;   1.9;eor
        232;19510115;    5;  -0.6;  -0.4;   0.2;   0.4;   1.7;eor
        232;19510116;    5;  -0.2;  -0.2;   0.3;   0.5;   1.7;eor
        232;19510117;    5;  -0.2;  -0.2;   0.3;   0.5;   1.8;eor
        232;19510118;    5;  -0.2;  -0.2;   0.2;   0.4;   1.6;eor
        232;19510119;    5;  -0.2;  -0.2;   0.3;   0.4;   1.6;eor
        232;19510120;    5;  -0.2;  -0.2;   0.3;   0.4;   1.6;eor
        232;19510121;    5;  -0.1;  -0.2;   0.4;   0.5;   1.4;eor
        232;19510122;    5;   0.1;   0.0;   0.5;   0.7;   1.7;eor
        232;19510123;    5;   1.0;   0.7;   0.9;   0.9;   1.7;eor
        232;19510124;    5;   0.9;   0.7;   1.0;   1.1;   2.0;eor
        232;19510125;    5;   0.1;   0.2;   0.6;   1.0;   2.0;eor
        232;19510126;    5;   0.2;   0.2;   0.7;   1.0;   2.0;eor
        232;19510127;    5;   0.4;   0.3;   0.7;   1.1;   2.0;eor
        232;19510128;    5;   0.5;   0.4;   0.9;   1.0;   2.1;eor
        232;19510129;    5;   0.8;   0.6;   1.1;   1.0;   2.1;eor
        232;19510130;    5;   0.7;   0.7;   1.1;   1.1;   2.2;eor
        232;19510131;    5;   0.5;   0.6;   1.0;   1.1;   2.2;eor
        232;19510201;    5;   1.9;   1.8;   1.7;   1.5;   2.2;eor
        232;19510202;    5;   1.3;   1.8;   2.1;   2.0;   2.6;eor
        232;19510203;    5;   0.0;   0.3;   1.1;   1.4;   2.6;eor
        232;19510204;    5;  -0.1;   0.2;   0.8;   1.1;   2.3;eor
        232;19510205;    5;  -0.2;   0.1;   0.8;   1.0;   2.3;eor
        232;19510206;    5;   1.1;   1.0;   1.4;   1.3;   2.2;eor
        232;19510207;    5;   1.5;   1.4;   1.7;   1.5;   2.3;eor
        232;19510208;    5;   2.7;   1.9;   2.2;   1.8;   2.5;eor
        232;19510209;    5;   3.3;   2.8;   3.1;   2.4;   2.7;eor
        232;19510210;    5;   3.2;   2.9;   3.2;   2.8;   3.1;eor
        232;19510211;    5;   4.8;   3.8;   4.5;   3.5;   3.4;eor
        232;19510212;    5;   4.6;   4.3;   3.9;   4.0;   3.8;eor
        232;19510213;    5;   3.8;   3.7;   4.1;   3.9;   4.1;eor
        232;19510214;    5;   4.0;   4.0;   4.4;   4.0;   4.1;eor
        232;19510215;    5;   4.4;   3.5;   3.6;   3.4;   4.1;eor
        232;19510216;    5;   2.2;   2.3;   3.0;   3.3;   4.0;eor
        232;19510217;    5;   3.8;   2.7;   3.0;   2.8;   3.7;eor
        232;19510218;    5;   2.8;   2.6;   3.1;   3.3;   3.9;eor
        232;19510219;    5;   1.1;   1.1;   1.9;   2.3;   3.6;eor
        232;19510220;    5;   3.3;   2.5;   3.0;   2.8;   3.4;eor
        232;19510221;    5;   3.0;   2.8;   3.0;   3.0;   3.5;eor
        232;19510222;    5;   3.9;   3.5;   3.6;   3.0;   3.5;eor
        232;19510223;    5;   1.4;   1.9;   2.5;   2.7;   3.5;eor
        232;19510224;    5;   0.5;   0.3;   1.3;   1.9;   3.2;eor
        232;19510225;    5;   1.9;   1.7;   2.2;   2.2;   3.1;eor
        232;19510226;    5;   0.1;   0.3;   1.2;   1.7;   3.0;eor
        232;19510227;    5;   1.9;   1.8;   2.2;   1.9;   2.8;eor
        232;19510228;    5;   2.1;   1.8;   2.2;   2.1;   2.9;eor
        232;19510301;    5;  -0.3;   0.2;   1.2;   1.6;   2.9;eor
        232;19510302;    5;   1.0;   0.7;   1.4;   1.6;   2.7;eor
        232;19510303;    5;  -0.4;   0.0;   0.8;   1.2;   2.5;eor
        232;19510304;    5;  -0.4;   0.0;   0.6;   1.0;   2.3;eor
        232;19510305;    5;  -0.2;   0.1;   0.7;   1.0;   2.2;eor
        232;19510306;    5;  -0.7;  -0.2;   0.7;   1.0;   2.2;eor
        232;19510307;    5;  -0.1;   0.3;   1.1;   1.1;   2.2;eor
        232;19510308;    5;   2.5;   2.3;   2.6;   2.1;   2.4;eor
        232;19510309;    5;   2.4;   2.6;   3.0;   2.8;   2.9;eor
        232;19510310;    5;   1.9;   1.5;   2.2;   2.3;   2.9;eor
        232;19510311;    5;   2.7;   2.3;   2.6;   2.5;   3.0;eor
        232;19510312;    5;   4.8;   4.7;   4.9;   4.0;   3.4;eor
        232;19510313;    5;   6.8;   5.4;   5.3;   4.4;   3.8;eor
        232;19510314;    5;   5.7;   5.5;   5.7;   5.1;   4.5;eor
        232;19510315;    5;   7.1;   7.0;   7.2;   5.9;   4.8;eor
        232;19510316;    5;   8.2;   7.4;   7.4;   6.1;   5.3;eor
        232;19510317;    5;  10.9;  10.5;  10.3;   8.5;   6.2;eor
        232;19510318;    5;   8.4;   8.6;   9.0;   8.6;   7.2;eor
        232;19510319;    5;   8.0;   7.6;   8.2;   7.8;   7.1;eor
        232;19510320;    5;   4.9;   5.1;   6.0;   6.3;   6.9;eor
